keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
platonic love,1530,1662,1576,1391,756,181.90000000000032
gang of thieves,1530,1662,1576,1391,756,181.90000000000032
donghua,1530,1662,1576,765,1071,181.5000000000002
eiffel tower,1530,1662,1576,324,1293,181.2
jews,1530,1662,1576,1391,764,180.29999999999998
destiny,1174,1662,1482,1391,410,179.90000000000018
gold rush,1530,1662,1576,1391,766,179.90000000000012
dramedy,1530,1662,1576,1068,928,179.80000000000024
imprisonment,1530,1662,1215,343,1293,179.3000000000002
guns,1530,1662,495,344,1293,179.20000000000013
government agency,1530,1662,1576,345,1293,179.10000000000025
world war i,1530,1662,1576,693,1121,178.7000000000002
animal horror,1525,1662,1576,342,1293,178.40000000000015
mexican cartel,1530,1662,1576,353,1293,178.3000000000002
sahara desert,1530,1662,1576,355,1293,178.10000000000028
proxy battle,1530,1662,1576,356,1293,178.00000000000037
hard,1530,1662,405,1391,776,177.9000000000001
objective,1530,1662,1576,1391,777,177.70000000000016
disease,1530,1662,827,361,1293,177.50000000000003
abandoned baby,1530,1662,1576,1391,779,177.3000000000002
dubious,1530,900,1408,1328,430,177.2000000000002
janitor,1363,1662,1576,1391,613,177.10000000000014
1920s,1339,710,1576,485,567,176.90000000000018
purge,1530,1662,449,367,1293,176.90000000000012
scam,1530,1662,1576,1391,781,176.90000000000012
multiple personality,1530,1662,1576,369,1293,176.70000000000036
dissociative identity disorder,1530,1662,1576,369,1293,176.70000000000036
time warp,1530,1662,1576,1391,782,176.7000000000002
comic book,1530,1662,664,579,1193,175.70000000000022
african american history,1530,1662,1328,1391,787,175.70000000000013
antisemitism,1429,1662,1576,1391,687,175.4999999999999
witty,945,289,147,233,96,175.4000000000001
tragedy,771,723,640,138,187,175.30000000000004
1850s,1530,1662,1576,1391,789,175.3
traumatized woman,1530,1662,1073,384,1293,175.20000000000024
south america,1530,1662,1576,388,1293,174.80000000000015
girls' love (gl),1530,1662,1576,390,1293,174.60000000000014
alien contact,1530,1662,1576,1391,793,174.50000000000014
witchcraft,1530,1662,732,663,1157,174.50000000000014
sci-fi horror,1530,1662,1576,1391,794,174.3000000000002
arrogant,1530,1662,1576,940,1020,174.20000000000013
runner,1530,1662,1576,395,1293,174.10000000000025
billionaire,1530,1662,373,400,1293,173.60000000000028
female teacher,1530,1662,1576,1391,798,173.50000000000014
tyrannosaurus rex,1530,1662,1576,402,1293,173.40000000000012
south korean,1530,1662,1576,1391,799,173.30000000000015
anti-bullying,1530,1662,1576,1391,799,173.30000000000015
maine,1530,1662,1576,404,1293,173.20000000000013
birthday party,1530,1662,496,827,1083,172.9000000000002
theme park,1530,1662,1576,408,1293,172.80000000000007
masculinity,1530,1662,1576,1391,802,172.7000000000002
sociopath,1287,1662,98,1391,559,172.70000000000013
acapella,1530,1662,1576,410,1293,172.60000000000025
handgun,1530,1662,1576,411,1293,172.50000000000028
toy comes to life,1530,1662,787,412,1293,172.4000000000001
u.s. senator,1160,1662,1576,1391,434,172.3000000000001
myth,1530,1662,1576,570,1215,172.2000000000002
genetic engineering,1530,1662,1576,414,1293,172.20000000000016
woman in wheelchair,1530,1662,1576,1391,807,171.70000000000013
comet,1352,1662,1576,1391,629,171.7000000000001
pretentious,1530,1045,1318,1391,499,171.60000000000025
coma,1530,1662,327,420,1293,171.60000000000022
niece,1530,1662,1576,1391,811,170.90000000000035
adolf hitler,1530,1662,1576,430,1293,170.60000000000025
race car driver,1530,1662,1576,432,1293,170.4000000000003
